localhost/voipmonitor/build-candidates	jj-r38-runtime-20260915T163156Z-64815	ea031e1d3d05	35.9 GB	About an hour ago
localhost/sol-h3-spark/stage1	1992711d52ebccab	4796d8300f98	23.3 GB	3 days ago
<none>	<none>	09e829016ea3	22.4 GB	3 days ago
<none>	<none>	d3b3030ef120	22.4 GB	3 days ago
<none>	<none>	4c91223ee590	21.6 GB	3 days ago
<none>	<none>	5a4185579b68	21.6 GB	3 days ago
<none>	<none>	5cdb4f9de1bc	21.5 GB	3 days ago
<none>	<none>	41e8be31fe9a	20.9 GB	3 days ago
<none>	<none>	bb57959b31b3	7.7 GB	3 days ago
localhost/sol-h3-spark/qwen	4a14585f9da54ac2	0bad224f667e	22.9 GB	3 days ago
<none>	<none>	b1a7d7923294	22.9 GB	3 days ago
<none>	<none>	53e4cc0fdd7e	22.9 GB	3 days ago
<none>	<none>	80c456120860	22.9 GB	3 days ago
<none>	<none>	9af34d01b9b3	22.3 GB	3 days ago
<none>	<none>	6da7c57820ba	19.8 GB	3 days ago
localhost/sol-h3-test/qwen-audio-291	20260911	4c5992148bb8	22.5 GB	3 days ago
<none>	<none>	4b08e09960d4	22.5 GB	3 days ago
localhost/sol-h3-test/stage1	20260911	16b7cae7454c	23.1 GB	3 days ago
<none>	<none>	5cc4f0f3d7bc	22.2 GB	3 days ago
<none>	<none>	1fcd2e93e3d1	22.2 GB	3 days ago
<none>	<none>	416ac72fb261	21.4 GB	3 days ago
<none>	<none>	218a6885700f	21.4 GB	3 days ago
<none>	<none>	1a9b4824460b	21.3 GB	3 days ago
localhost/sol-h3-test/qwen-audio	20260911	86de1552c097	22.4 GB	3 days ago
localhost/sol-h3-test/qwen	20260911	c43a43b2c9bd	22.4 GB	3 days ago
<none>	<none>	090417dd627a	22.4 GB	3 days ago
<none>	<none>	d12d09442b27	22.4 GB	3 days ago
<none>	<none>	8c78716ac7a8	22.3 GB	3 days ago
<none>	<none>	18412f00134e	19.8 GB	3 days ago
<none>	<none>	25ef9135bb22	19.8 GB	3 days ago
<none>	<none>	bd11383a5464	19.8 GB	3 days ago
<none>	<none>	8c5645e0cef0	19.8 GB	3 days ago
localhost/sol-h3-test/stage2-audio-candidate	20260911	fe330b7a5d88	19.9 GB	3 days ago
<none>	<none>	54bbdc22fe1b	20.9 GB	3 days ago
<none>	<none>	0d8dd6d6db79	7.7 GB	3 days ago
<none>	<none>	b996832d73d3	7.7 GB	3 days ago
<none>	<none>	8f04ca0407cd	7.7 GB	3 days ago
<none>	<none>	9dfb6d8d5f38	7.1 GB	3 days ago
<none>	<none>	46e443b1e6f8	7.1 GB	3 days ago
localhost/sol-h3-test/stage2	20260911	a45f067f5ba4	20.2 GB	3 days ago
<none>	<none>	99bae85d8609	19.9 GB	3 days ago
<none>	<none>	918a775b543f	19.9 GB	3 days ago
<none>	<none>	7bd3ed46cf16	19.5 GB	3 days ago
<none>	<none>	451f304c80fe	19.5 GB	3 days ago
<none>	<none>	0f0eb0cb66b0	8.16 GB	3 days ago
<none>	<none>	70b76bbaf221	8.16 GB	3 days ago
<none>	<none>	a06309516d3d	8.16 GB	3 days ago
<none>	<none>	e6199c1e053f	7.59 GB	3 days ago
<none>	<none>	b836434900f7	7.59 GB	3 days ago
ghcr.io/astral-sh/uv	0.12.13	b65162ec72e4	46.9 MB	4 days ago
localhost/voipmonitor/vllm	jj-r32-spark-sm121	74e53e710bef	34.4 GB	5 days ago
localhost/voipmonitor/vllm	gilded-gnosis-v20-r34-spark-sm121-vllm17b78ef-b12xcd3ce19-fi1ac6942-cu132-20260818	276f00868134	25.7 GB	4 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v20-r34-spark-sm121-vllm9eb28db-b12xcd3ce19-fi1ac6942-cu132-20260817	5f4691ed91c9	25.7 GB	4 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v20-r33-spark-sm121-vllm28e8eaf-b12x06db0f4-fi1ac6942-cu132-20260808	69f83ec7efff	25.8 GB	5 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v20-r33-spark-sm121-vllm44700e3-b12x06db0f4-fi1ac6942-cu132-20260808	3055794c5160	25.8 GB	5 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v20-r28-spark-sm121-vllm47d1950-si200c1db-fi7ad08da-cu132-20260804	5ac378214692	25.7 GB	5 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v20p3p1-spark-sm121-vllm41ae549-si2b9bf2a-fi7ad08da-cu132-20260803	b8b163757819	25.7 GB	6 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v20p3-spark-sm121-vllm92b27a4-si2b9bf2a-fi7ad08da-cu132-20260803	dfad43d4b2de	25.7 GB	6 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v20p2-spark-sm121-vllm9e70264-si9c34ff8-fi7ad08da-cu132-20260730	6c3586c535b7	25.7 GB	6 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v20p2-spark-sm121-vllm6dbe127-si9c34ff8-fi7ad08da-cu132-20260730	777bd6bbdfef	25.7 GB	6 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v20p1-ds4-spark-sm121-vllm2167295-si6a92bcc-fi7ad08da-cu132-20260722	2dc397ccf5dd	25.1 GB	7 weeks ago
<none>	<none>	54a0d654f021	25.1 GB	7 weeks ago
<none>	<none>	e312c953d072	25.1 GB	7 weeks ago
<none>	<none>	e04c09379f14	25.1 GB	7 weeks ago
<none>	<none>	1d17d497f657	25.1 GB	7 weeks ago
<none>	<none>	36141fbfabbb	25.1 GB	7 weeks ago
<none>	<none>	9eec27a5650e	25.1 GB	7 weeks ago
<none>	<none>	d05d1708a266	25.1 GB	7 weeks ago
<none>	<none>	b86f34c98822	25.1 GB	7 weeks ago
<none>	<none>	a86f6a66d8e8	25.1 GB	7 weeks ago
<none>	<none>	d9009312785e	25.1 GB	7 weeks ago
<none>	<none>	e1f25edaf34c	25.1 GB	7 weeks ago
<none>	<none>	5de23fdffb50	25.1 GB	7 weeks ago
<none>	<none>	74348dd108d7	25.1 GB	7 weeks ago
<none>	<none>	aeac78aecb61	25.1 GB	7 weeks ago
<none>	<none>	729536b68b4d	25.1 GB	7 weeks ago
<none>	<none>	b88e93288082	25.1 GB	7 weeks ago
<none>	<none>	f1135965480a	25.1 GB	7 weeks ago
<none>	<none>	dfa5da4e9434	25.1 GB	7 weeks ago
<none>	<none>	a630742f1b33	25.1 GB	7 weeks ago
<none>	<none>	399e72bef6bd	25.1 GB	7 weeks ago
<none>	<none>	1ebc939d91df	25.1 GB	7 weeks ago
<none>	<none>	3dd83b9d6113	25.1 GB	7 weeks ago
<none>	<none>	01170bc15be6	25.1 GB	7 weeks ago
<none>	<none>	1a6b8ade4cc9	25.1 GB	7 weeks ago
<none>	<none>	97a66609292c	25.1 GB	7 weeks ago
<none>	<none>	0fb8bc87101d	25.1 GB	7 weeks ago
<none>	<none>	18030d54781b	25.1 GB	7 weeks ago
<none>	<none>	941cb5bb7689	25.1 GB	7 weeks ago
<none>	<none>	581988abd323	24.4 GB	7 weeks ago
<none>	<none>	bd61ddf81512	24.4 GB	7 weeks ago
<none>	<none>	ea16789ab810	24.4 GB	7 weeks ago
<none>	<none>	3c30cf995307	24.4 GB	7 weeks ago
<none>	<none>	7d36eef5c597	22.9 GB	7 weeks ago
<none>	<none>	f037bf3b970b	22.9 GB	7 weeks ago
<none>	<none>	d1af53b1a782	22.9 GB	7 weeks ago
<none>	<none>	e7bb1596abef	22.9 GB	7 weeks ago
<none>	<none>	ca12baa3d56d	22.9 GB	7 weeks ago
<none>	<none>	bf456197bda3	22.9 GB	7 weeks ago
<none>	<none>	fffa1a2d41a4	22.9 GB	7 weeks ago
<none>	<none>	b8d626dc954d	22.9 GB	7 weeks ago
<none>	<none>	21f2e1a5aa91	22.9 GB	7 weeks ago
<none>	<none>	a7a84a7eec99	22.9 GB	7 weeks ago
<none>	<none>	62625fda4b55	21.2 GB	7 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v20p0-ds4-spark-sm121-vllm2167295-si6a92bcc-fi801d57a-cu132-20260722	83c03df2d236	25.1 GB	7 weeks ago
<none>	<none>	8303328c1250	25.1 GB	7 weeks ago
<none>	<none>	b07e1e73185a	25.1 GB	7 weeks ago
<none>	<none>	2b12d308501f	25.1 GB	7 weeks ago
<none>	<none>	979f0a2f4a38	25.1 GB	7 weeks ago
<none>	<none>	577f8a3ceb46	25.1 GB	7 weeks ago
<none>	<none>	6afc10266c26	25.1 GB	7 weeks ago
<none>	<none>	57a0fc67c942	25.1 GB	7 weeks ago
<none>	<none>	e05640874eac	25.1 GB	7 weeks ago
<none>	<none>	4f1683538287	25.1 GB	7 weeks ago
<none>	<none>	4fd0fb8caad6	25.1 GB	7 weeks ago
<none>	<none>	afa3823d37f2	25.1 GB	7 weeks ago
<none>	<none>	75e53c4a25f3	25.1 GB	7 weeks ago
<none>	<none>	4a84d89f117f	25.1 GB	7 weeks ago
<none>	<none>	dddf7bf8c93e	25.1 GB	7 weeks ago
<none>	<none>	773e25f1aed5	25.1 GB	7 weeks ago
<none>	<none>	cb5a752cf1e3	25.1 GB	7 weeks ago
<none>	<none>	5386e9dabb42	25.1 GB	7 weeks ago
<none>	<none>	551fd2682a2e	25.1 GB	7 weeks ago
<none>	<none>	95e80790a798	25.1 GB	7 weeks ago
<none>	<none>	730c3b62a5ee	25.1 GB	7 weeks ago
<none>	<none>	20cae4d4ee7f	25.1 GB	7 weeks ago
<none>	<none>	a613cd068725	25.1 GB	7 weeks ago
<none>	<none>	ae07c1774efb	25.1 GB	7 weeks ago
<none>	<none>	5fd070c4633d	25.1 GB	7 weeks ago
<none>	<none>	9fae2073b47e	25.1 GB	7 weeks ago
<none>	<none>	634f27186239	25.1 GB	7 weeks ago
<none>	<none>	f9374f690446	25.1 GB	7 weeks ago
<none>	<none>	71d6c6d81a13	25.1 GB	7 weeks ago
<none>	<none>	93d5b2473c53	24.4 GB	7 weeks ago
<none>	<none>	8d3b0b7032dd	24.4 GB	7 weeks ago
<none>	<none>	03946cd356cc	24.4 GB	7 weeks ago
<none>	<none>	00ff7beedb12	24.4 GB	7 weeks ago
<none>	<none>	8ddbe391a50c	22.9 GB	7 weeks ago
<none>	<none>	401d4d1db62d	22.9 GB	7 weeks ago
<none>	<none>	17f490622f48	22.9 GB	7 weeks ago
<none>	<none>	593ddf9b9f89	22.9 GB	7 weeks ago
<none>	<none>	253df6869a14	22.9 GB	7 weeks ago
<none>	<none>	d0e28f2e0e23	22.9 GB	7 weeks ago
<none>	<none>	f8c70a8b0028	22.9 GB	7 weeks ago
<none>	<none>	ad043d19bd1c	22.9 GB	7 weeks ago
<none>	<none>	64abdcc77387	22.9 GB	7 weeks ago
<none>	<none>	9e9de0d4fb55	22.9 GB	7 weeks ago
<none>	<none>	529e9ccc74d5	21.2 GB	7 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v19-dspark-spark-sm121-vllm371085e-b12xc7dc733-fice40d25-cu132-20260719	e17c0d62009c	25.1 GB	8 weeks ago
<none>	<none>	4e2402ee368e	25.1 GB	8 weeks ago
<none>	<none>	f008b94b1bff	25.1 GB	8 weeks ago
<none>	<none>	70d05630b1b8	25.1 GB	8 weeks ago
<none>	<none>	495cfed363ad	25.1 GB	8 weeks ago
<none>	<none>	f8b8d533fc9f	25.1 GB	8 weeks ago
<none>	<none>	5088f5410f3f	25.1 GB	8 weeks ago
<none>	<none>	4cc74da88fad	25.1 GB	8 weeks ago
<none>	<none>	b243c6656489	25.1 GB	8 weeks ago
<none>	<none>	3ded55c2c4b2	25.1 GB	8 weeks ago
<none>	<none>	fee5a09bbe5c	25.1 GB	8 weeks ago
<none>	<none>	1509b261a997	25.1 GB	8 weeks ago
<none>	<none>	4949c9de29ac	25.1 GB	8 weeks ago
<none>	<none>	647298f815a3	25.1 GB	8 weeks ago
<none>	<none>	e3d09f7c470a	25.1 GB	8 weeks ago
<none>	<none>	11320c8f9302	25.1 GB	8 weeks ago
<none>	<none>	4175de186dfa	25.1 GB	8 weeks ago
<none>	<none>	c03886189b89	25.1 GB	8 weeks ago
<none>	<none>	0e0b57209252	25.1 GB	8 weeks ago
<none>	<none>	a51b6acf233b	25.1 GB	8 weeks ago
<none>	<none>	90a2563ae687	25.1 GB	8 weeks ago
<none>	<none>	dc9be47d9b38	25.1 GB	8 weeks ago
<none>	<none>	a4d1cbbadeb1	25.1 GB	8 weeks ago
<none>	<none>	36007a609e31	25.1 GB	8 weeks ago
<none>	<none>	c7be95cf5798	25.1 GB	8 weeks ago
<none>	<none>	74efed0e42c5	25.1 GB	8 weeks ago
<none>	<none>	5acec919e431	25.1 GB	8 weeks ago
<none>	<none>	91d6f5a8aa20	25.1 GB	8 weeks ago
<none>	<none>	8a5a17678598	25.1 GB	8 weeks ago
<none>	<none>	c74d87204aba	24.4 GB	8 weeks ago
<none>	<none>	8a81e7b8db8a	24.4 GB	8 weeks ago
<none>	<none>	4b38f3e6717a	24.4 GB	8 weeks ago
<none>	<none>	17d9bd64c5de	24.4 GB	8 weeks ago
<none>	<none>	84869d54efe8	22.9 GB	8 weeks ago
<none>	<none>	a1c2d299ca45	22.9 GB	8 weeks ago
<none>	<none>	b4fc669a80c7	22.9 GB	8 weeks ago
<none>	<none>	2c776defd531	22.9 GB	8 weeks ago
<none>	<none>	4b011ce75d66	22.9 GB	8 weeks ago
<none>	<none>	ef64d8509cf7	22.9 GB	8 weeks ago
<none>	<none>	8bc44e7c8dcd	22.9 GB	8 weeks ago
<none>	<none>	31b4d0485b9d	22.9 GB	8 weeks ago
<none>	<none>	5699b57891bf	22.9 GB	8 weeks ago
<none>	<none>	ccc4a2887e19	22.9 GB	8 weeks ago
<none>	<none>	3f80c221d68f	21.2 GB	8 weeks ago
<none>	<none>	8066e56a642f	26.7 GB	8 weeks ago
<none>	<none>	78921c9954d2	26.7 GB	8 weeks ago
<none>	<none>	340f4bfc1cc2	25.4 GB	8 weeks ago
<none>	<none>	d81a9a1d2aa7	25.4 GB	8 weeks ago
<none>	<none>	30b5d2083300	25.4 GB	8 weeks ago
<none>	<none>	da8038597c05	24 GB	8 weeks ago
<none>	<none>	c4a1d51d68f9	23.8 GB	8 weeks ago
<none>	<none>	0896558d5fe4	23.8 GB	8 weeks ago
<none>	<none>	9071ce0d5bd0	23.8 GB	8 weeks ago
<none>	<none>	fd60586ae6ef	23.8 GB	8 weeks ago
<none>	<none>	1f1ef9f0baff	23.8 GB	8 weeks ago
<none>	<none>	07492952305c	23.8 GB	8 weeks ago
<none>	<none>	ad8437ccd78f	23.8 GB	8 weeks ago
<none>	<none>	386271c1d377	23.8 GB	8 weeks ago
<none>	<none>	6fc29169a4ac	23.8 GB	8 weeks ago
<none>	<none>	ab39b3c6ffd7	23.8 GB	8 weeks ago
<none>	<none>	d7708c3efc4c	23.8 GB	8 weeks ago
<none>	<none>	f3e00e93c2eb	23.8 GB	8 weeks ago
<none>	<none>	b43fd2c40a8c	23.8 GB	8 weeks ago
<none>	<none>	2b31008af047	23.8 GB	8 weeks ago
<none>	<none>	33008a074452	23.8 GB	8 weeks ago
<none>	<none>	8c51bb706198	23.8 GB	8 weeks ago
<none>	<none>	b2f8153e719b	23.8 GB	8 weeks ago
<none>	<none>	e7e2fe5d8ef7	23.8 GB	8 weeks ago
<none>	<none>	1e45c7302be0	23.8 GB	8 weeks ago
<none>	<none>	cabf564ea020	23.8 GB	8 weeks ago
<none>	<none>	e903a279ff6c	23.8 GB	8 weeks ago
<none>	<none>	9863c4af8691	23.8 GB	8 weeks ago
<none>	<none>	c19fbc056095	23.8 GB	8 weeks ago
<none>	<none>	c5797964991e	23.8 GB	8 weeks ago
<none>	<none>	971a712c3af6	23.8 GB	8 weeks ago
<none>	<none>	9e496f042f94	23.8 GB	8 weeks ago
<none>	<none>	1a400609a82e	23.8 GB	8 weeks ago
<none>	<none>	1b691f522a38	23.7 GB	8 weeks ago
<none>	<none>	367256cdb426	23.7 GB	8 weeks ago
<none>	<none>	9eb46bb7fff6	23.7 GB	8 weeks ago
<none>	<none>	ad2b9b21c9cb	23.7 GB	8 weeks ago
<none>	<none>	f9ae2322ef1f	23.7 GB	8 weeks ago
<none>	<none>	8d55b5b55edb	23.7 GB	8 weeks ago
<none>	<none>	41e65559fb73	23.7 GB	8 weeks ago
<none>	<none>	4f63d9e2ec2f	19.1 GB	8 weeks ago
<none>	<none>	db997d3c0888	19.1 GB	8 weeks ago
<none>	<none>	6d4c6b6bf6cd	19.1 GB	8 weeks ago
<none>	<none>	f40ca5ae77d5	19.1 GB	8 weeks ago
<none>	<none>	108f3248eb12	18.9 GB	8 weeks ago
<none>	<none>	8ebd8cb61fce	18.9 GB	8 weeks ago
<none>	<none>	b80bbb249078	18.9 GB	8 weeks ago
<none>	<none>	13948c184300	18.9 GB	8 weeks ago
<none>	<none>	6beb06bc1cad	18.9 GB	8 weeks ago
<none>	<none>	b4088cdd1ead	18.9 GB	8 weeks ago
<none>	<none>	f68e3bae46dd	18.9 GB	8 weeks ago
<none>	<none>	47547558f9d8	18.9 GB	8 weeks ago
<none>	<none>	d59968820477	18.9 GB	8 weeks ago
<none>	<none>	87ad152ac326	18.9 GB	8 weeks ago
<none>	<none>	173d335f6dbb	18.9 GB	8 weeks ago
<none>	<none>	ebfd0276b81d	18.9 GB	8 weeks ago
<none>	<none>	dbe3f1ff30a9	18.9 GB	8 weeks ago
<none>	<none>	7838622aa4f4	18.9 GB	8 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v18p5-quantfix-spark-sm121-vllm4966149-b12x6b10833-fi7ad08da-cu132-20260718	1cc876901bfb	24.6 GB	8 weeks ago
<none>	<none>	e1cc9671a403	24.6 GB	8 weeks ago
<none>	<none>	8a868bc8c8dd	24.6 GB	8 weeks ago
<none>	<none>	e1200d30c620	24.6 GB	8 weeks ago
<none>	<none>	a4da10b8472d	24.6 GB	8 weeks ago
<none>	<none>	f13e48540283	24.6 GB	8 weeks ago
<none>	<none>	b168a27c19bd	24.6 GB	8 weeks ago
<none>	<none>	f79239730cdf	24.6 GB	8 weeks ago
<none>	<none>	c6af33998f94	24.6 GB	8 weeks ago
<none>	<none>	8a45ab844121	24.6 GB	8 weeks ago
<none>	<none>	600ef81c2e19	24.6 GB	8 weeks ago
<none>	<none>	b845f5219af9	24.6 GB	8 weeks ago
<none>	<none>	cc6062c3a580	24.6 GB	8 weeks ago
<none>	<none>	49f9c6926ab1	24.6 GB	8 weeks ago
<none>	<none>	76a9ef1e070a	24.6 GB	8 weeks ago
<none>	<none>	32dbd7e2fbe7	24.6 GB	8 weeks ago
<none>	<none>	cc3c943585e4	24.6 GB	8 weeks ago
<none>	<none>	8c6da32f663d	24.6 GB	8 weeks ago
<none>	<none>	d4fb60195040	24.6 GB	8 weeks ago
<none>	<none>	4cc6257937f7	24.6 GB	8 weeks ago
<none>	<none>	22d148f690ec	24.6 GB	8 weeks ago
<none>	<none>	2aa24311bb70	24.6 GB	8 weeks ago
<none>	<none>	32dcd29e7f95	24.6 GB	8 weeks ago
<none>	<none>	74cdd7a2d176	24.6 GB	8 weeks ago
<none>	<none>	c6c300621766	24.6 GB	8 weeks ago
<none>	<none>	47901b48f43c	24.6 GB	8 weeks ago
<none>	<none>	b90d2e6a3b2d	24.6 GB	8 weeks ago
<none>	<none>	1a2a24f653da	24.6 GB	8 weeks ago
<none>	<none>	72c28e0aff9c	24.6 GB	8 weeks ago
<none>	<none>	236c2c629d92	23.9 GB	8 weeks ago
<none>	<none>	9bfdf9767c6b	23.9 GB	8 weeks ago
<none>	<none>	6eea3123ab5e	23.9 GB	8 weeks ago
<none>	<none>	afe2d4cb15e6	23.9 GB	8 weeks ago
<none>	<none>	98838bf373fb	22.6 GB	8 weeks ago
<none>	<none>	b7b82346faa6	22.6 GB	8 weeks ago
<none>	<none>	36661663f366	22.6 GB	8 weeks ago
<none>	<none>	e00509effb42	22.6 GB	8 weeks ago
<none>	<none>	3ae2e799f750	22.6 GB	8 weeks ago
<none>	<none>	463627e903bb	22.6 GB	8 weeks ago
<none>	<none>	edf59d922fd2	22.6 GB	8 weeks ago
<none>	<none>	f37b0e573395	22.6 GB	8 weeks ago
<none>	<none>	f6244d6c09ef	22.6 GB	8 weeks ago
<none>	<none>	a1566d58d88c	22.6 GB	8 weeks ago
<none>	<none>	e21484bc958d	21.1 GB	8 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v18p4-grid48-spark-sm121-vllmdf7a0b7-b12x6b10833-fi801d57a-cu132-20260718	fa34c82d5098	24.6 GB	8 weeks ago
<none>	<none>	be20e4eed7c0	24.6 GB	8 weeks ago
<none>	<none>	9cea2cd0581b	24.6 GB	8 weeks ago
<none>	<none>	925d07f433e9	24.6 GB	8 weeks ago
<none>	<none>	4277f8361d89	24.6 GB	8 weeks ago
<none>	<none>	fce7d800d306	24.6 GB	8 weeks ago
<none>	<none>	0156bd141fb7	24.6 GB	8 weeks ago
<none>	<none>	8a29c0a43ea0	24.6 GB	8 weeks ago
<none>	<none>	3a111cf55d0f	24.6 GB	8 weeks ago
<none>	<none>	c8d94e573e61	24.6 GB	8 weeks ago
<none>	<none>	07dcf999144a	24.6 GB	8 weeks ago
<none>	<none>	c28adb3c6764	24.6 GB	8 weeks ago
<none>	<none>	6b1956fcee42	24.6 GB	8 weeks ago
<none>	<none>	6f54eb7ff593	24.6 GB	8 weeks ago
<none>	<none>	2df07a6110fe	24.6 GB	8 weeks ago
<none>	<none>	ba18a506b4a4	24.6 GB	8 weeks ago
<none>	<none>	a1367d6103c5	24.6 GB	8 weeks ago
<none>	<none>	4296b83f50a6	24.6 GB	8 weeks ago
<none>	<none>	78d5317e1412	24.6 GB	8 weeks ago
<none>	<none>	62cad132d191	24.6 GB	8 weeks ago
<none>	<none>	779433327fcb	24.6 GB	8 weeks ago
<none>	<none>	68c671824dc2	24.6 GB	8 weeks ago
<none>	<none>	27f9dddee124	24.6 GB	8 weeks ago
<none>	<none>	c2deb0be8e3c	24.6 GB	8 weeks ago
<none>	<none>	a51f98523ca5	24.6 GB	8 weeks ago
<none>	<none>	0866d514d81d	24.6 GB	8 weeks ago
<none>	<none>	09217ef3c68a	24.6 GB	8 weeks ago
<none>	<none>	afe3dc673bc4	24.6 GB	8 weeks ago
<none>	<none>	c3a5ac8305ee	24.6 GB	8 weeks ago
<none>	<none>	d606bd33bd65	23.9 GB	8 weeks ago
<none>	<none>	137eaca7bd00	23.9 GB	8 weeks ago
<none>	<none>	64fa05004ea3	23.9 GB	8 weeks ago
<none>	<none>	9e02ed403e89	23.9 GB	8 weeks ago
<none>	<none>	29f409bb124c	22.6 GB	8 weeks ago
<none>	<none>	febb4c67a02b	22.6 GB	8 weeks ago
<none>	<none>	8eb13ac5bd2c	22.6 GB	8 weeks ago
<none>	<none>	ec7a0e8a629d	22.6 GB	8 weeks ago
<none>	<none>	b7f268594297	22.6 GB	8 weeks ago
<none>	<none>	4967e82fd1dd	22.6 GB	8 weeks ago
<none>	<none>	bd30fdf0af24	22.6 GB	8 weeks ago
<none>	<none>	9ec856cba19f	22.6 GB	8 weeks ago
<none>	<none>	1a9c9bcfe0ac	22.6 GB	8 weeks ago
<none>	<none>	7198460f9980	22.6 GB	8 weeks ago
<none>	<none>	d4e2537a7475	21.1 GB	8 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v18p3-spark-sm121-vllm264bce1-b12xbc85ef3-fi801d57a-cu132-20260718	59e8fb32bacb	24.6 GB	8 weeks ago
<none>	<none>	135287847d51	24.6 GB	8 weeks ago
<none>	<none>	723132bc2843	24.6 GB	8 weeks ago
localhost/voipmonitor/vllm	gilded-gnosis-v18p2-spark-sm121-vllm264bce1-b12xbc85ef3-fi801d57a-cu132-20260718	132858481974	24.6 GB	8 weeks ago
<none>	<none>	ad008b291197	24.6 GB	8 weeks ago
<none>	<none>	4ecb449528b6	24.6 GB	8 weeks ago
<none>	<none>	9981bc8eac54	24.6 GB	8 weeks ago
<none>	<none>	8bd5f03396ea	24.6 GB	8 weeks ago
<none>	<none>	d04b1ede4758	24.6 GB	8 weeks ago
<none>	<none>	bc8b79e960dc	24.6 GB	8 weeks ago
<none>	<none>	cb332b1aa44f	24.6 GB	8 weeks ago
<none>	<none>	da59fe6202d2	24.6 GB	8 weeks ago
<none>	<none>	1ee582e064e4	24.6 GB	8 weeks ago
<none>	<none>	7379b03add9b	24.6 GB	8 weeks ago
<none>	<none>	9c1bd3048604	24.6 GB	8 weeks ago
